Age (Ma),"k (""/y)"
234,55.10364564
235,55.1234573
236,55.14326896
237,55.16308061
238,55.18289227
239,55.20270393
240,55.22251558
241,55.24232724
242,55.2621389
243,55.28195055
244,55.30176221
245,55.32157387
246,55.34138552
247,55.36119718
248,55.38100884
249,55.40082049
250,55.42063215
251,55.44044381
252,55.46025546
253,55.48006712
254,55.49987878
255,55.51969043
256,55.53950209
257,55.55931375
258,55.5791254
259,55.59893706
260,55.61874872
261,55.63856037
262,55.65837203
263,55.67818369
264,55.69799534
265,55.717807
266,55.73761866
267,55.75743031
268,55.77724197
269,55.79705363
270,55.81686528
271,55.83667694
272,55.8564886
273,55.87630025
274,55.89611191
275,55.91592357
276,55.93573522
277,55.95554688
278,55.97535854
279,55.99517019
280,56.01498185
281,56.03479351
282,56.05460516
283,56.07441682
284,56.09422848
285,56.11404013
286,56.13385179
287,56.15366344
288,56.1734751
289,56.19328676
290,56.21309841
291,56.23291007
292,56.25272173
293,56.27253338
294,56.29234504
295,56.3121567
296,56.33196835
297,56.35178001
298,56.37159167
299,56.39140332
300,56.41121498
301,56.43102664
302,56.45083829
303,56.47064995
304,56.49046161
305,56.51027326
306,56.53008492
307,56.54989658
308,56.56970823
309,56.58951989
310,56.60933155
311,56.6291432
312,56.64895486
313,56.66876652
314,56.68857817
315,56.70838983
316,56.72820149
317,56.74801314
318,56.7678248
319,56.78763646
320,56.80744811
321,56.82725977
322,56.84707143
323,56.86688308
324,56.88669474
325,56.9065064
326,56.92631805
327,56.94612971
328,56.96594137
329,56.98575302
330,57.00556468
331,57.02537634
332,57.04518799
333,57.06499965
334,57.08481131
335,57.10462296
336,57.12443462
337,57.14424627
338,57.16405793
339,57.18386959
340,57.20368124
341,57.2234929
342,57.24330456
343,57.26311621
344,57.28292787
345,57.30273953
346,57.32255118
347,57.34236284
348,57.3621745
349,57.38198615
350,57.40179781
351,57.42160947
352,57.44142112
353,57.46123278
354,57.48104444
355,57.50085609
356,57.52066775
357,57.54047941
358,57.56029106
359,57.58010272
360,57.59991438
361,57.61972603
362,57.63953769
363,57.65934935
364,57.679161
365,57.69897266
366,57.71878432
367,57.73859597
368,57.75840763
369,57.77821929
370,57.79803094
371,57.8178426
372,57.83765426
373,57.85746591
374,57.87727757
375,57.89708923
376,57.91690088
377,57.93671254
378,57.9565242
379,57.97633585
380,57.99614751
381,58.01595917
382,58.03577082
383,58.05558248
384,58.07539414
385,58.09520579
386,58.11501745
387,58.13482911
388,58.15464076
389,58.17445242
390,58.19426407
391,58.21407573
392,58.23388739
393,58.25369904
394,58.2735107
395,58.29332236
396,58.31313401
397,58.33294567
398,58.35275733
399,58.37256898
400,58.39238064
401,58.4121923
402,58.43200395
403,58.45181561
404,58.47162727
405,58.49143892
406,58.51125058
407,58.53106224
408,58.55087389
409,58.57068555
410,58.59049721
411,58.61030886
412,58.63012052
413,58.64993218
414,58.66974383
415,58.68955549
416,58.70936715
417,58.7291788
418,58.74899046
419,58.76880212
420,58.78861377
421,58.80842543
422,58.82823709
423,58.84804874
424,58.8678604
425,58.88767206
426,58.90748371
427,58.92729537
428,58.94710703
429,58.96691868
430,58.98673034
431,59.006542
432,59.02635365
433,59.04616531
434,59.06597697
435,59.08578862
436,59.10560028
437,59.12541194
438,59.14522359
439,59.16503525
440,59.18484691
441,59.20465856
442,59.22447022
443,59.24428187
444,59.26409353
445,59.28390519
446,59.30371684
447,59.3235285
448,59.34334016
449,59.36315181
450,59.38296347
451,59.40277513
452,59.42258678
453,59.44239844
454,59.4622101
455,59.48202175
456,59.50183341
457,59.52164507
458,59.54145672
459,59.56126838
460,59.58108004
461,59.60089169
462,59.62070335
463,59.64051501
464,59.66032666
465,59.68013832
466,59.69994998
467,59.71976163
468,59.73957329
469,59.75938495
470,59.7791966
471,59.79900826
472,59.81881992
473,59.83863157
474,59.85844323
475,59.87825489
476,59.89806654
477,59.9178782
478,59.93768986
479,59.95750151
480,59.97731317
481,59.99712483
482,60.01693648
483,60.03674814
484,60.0565598
485,60.07637145
486,60.09618311
487,60.11599477
488,60.13580642
489,60.15561808
490,60.17542974
491,60.19524139
492,60.21505305
493,60.2348647
494,60.25467636
495,60.27448802
496,60.29429967
497,60.31411133
498,60.33392299
499,60.35373464
500,60.3735463
501,60.39335796
502,60.41316961
503,60.43298127
504,60.45279293
505,60.47260458
506,60.49241624
507,60.5122279
508,60.53203955
509,60.55185121
510,60.57166287
511,60.59147452
512,60.61128618
513,60.63109784
514,60.65090949
515,60.67072115
516,60.69053281
517,60.71034446
518,60.73015612
519,60.74996778
520,60.76977943
521,60.78959109
522,60.80940275
523,60.8292144
524,60.84902606
525,60.92011498
526,60.9912039
527,61.06229282
528,61.13338174
529,61.20447066
530,61.27555957
531,61.34664849
532,61.41773741
533,61.48882633
534,61.55991525
535,61.63100417
536,61.70209309
537,61.77318201
538,61.84427093
539,61.91535985
540,61.98644876
541,62.05753768
542,62.1286266
543,62.19971552
544,62.27080444
545,62.34189336
546,62.41298228
547,62.4840712
548,62.55516012
549,62.62624904
550,62.69733796
551,62.76842687
552,62.83951579
553,62.91060471
554,62.98169363
555,63.05278255
556,63.12387147
557,63.19496039
558,63.26604931
559,63.33713823
560,63.40822715
561,63.47931607
562,63.55040498
563,63.6214939
564,63.69258282
565,63.76367174
566,63.83476066
567,63.90584958
568,63.9769385
569,64.04802742
570,64.11911634
571,64.19020526
572,64.26129418
573,64.33238309
574,64.40347201
575,64.47456093
576,64.54564985
577,64.61673877
578,64.68782769
579,64.75891661
580,64.83000553
581,64.90109445
582,64.97218337
583,65.04327229
584,65.1143612
585,65.18545012
586,65.25653904
587,65.32762796
588,65.39871688
589,65.4698058
590,65.54089472
591,65.61198364
592,65.68307256
593,65.75416148
594,65.82525039
595,65.89633931
596,65.96742823
597,66.03851715
598,66.10960607
599,66.18069499
600,66.25178391
601,66.32287283
602,66.39396175
603,66.46505067
604,66.53613959
605,66.6072285
606,66.67831742
607,66.74940634
608,66.82049526
609,66.89158418
610,66.9626731
611,67.03376202
612,67.10485094
613,67.17593986
614,67.24702878
615,67.3181177
616,67.38920661
617,67.46029553
618,67.53138445
619,67.60247337
620,67.67356229
621,67.74465121
622,67.81574013
623,67.88682905
624,67.95791797
625,68.02900689
626,68.10009581
627,68.17118472
628,68.24227364
629,68.31336256
630,68.38445148
631,68.4555404
